"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_33","P8_34","P8_35","P8_36_1","P8_36_2","P8_37_1","P8_37_2","P8_38_1","P8_38_2","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000204","01","1","04","01","2","999999","99999","99","9","03","00","00","01","003","0000057",363,"4","1"
"0002635","01","1","01","01","4","060000","06000","99","9","07","00","02","06","060","0000551",364,"3","1"
"0005478","01","1","02","01","2","025000","99999","99","9","02","00","09","09","110","0001159",2496,"3","1"
"0005703","02","1","01","01","2","010000","01000","15","0","05","00","00","08","115","0001197",998,"4","1"
"0006098","13","1","03","01","2","380000","05000","04","0","10","00","05","00","135","0001270",1305,"2","2"
"0007038","03","1","02","01","2","012000","04000","08","5","03","00","00","03","152","0001407",2723,"4","1"
"0007043","03","1","05","01","1","005000","02000","99","9","03","00","02","00","150","0001408",4133,"2","1"
"0007204","05","1","02","01","2","100000","07000","30","0","03","00","03","00","152","0001452",2794,"4","1"
"0008868","01","1","02","01","4","100000","03500","00","0","05","00","02","00","196","0001754",465,"3","2"
"0008909","18","1","02","01","2","001550","99888","99","9","99","99","99","99","204","0001761",1224,"2","2"
"0008948","01","1","04","01","4","090000","05000","99","9","05","00","01","06","200","0001767",394,"4","3"
"0009856","05","1","01","01","1","180000","99999","99","9","99","99","03","00","221","0001896",2924,"4","1"
"0011062","04","1","01","01","2","300000","06000","99","9","08","00","05","00","241","0002129",1737,"3","1"
"0011607","04","1","02","01","2","500000","03000","00","8","10","00","10","00","256","0002211",744,"4","1"
"0011736","05","1","03","01","2","070000","99999","04","0","04","00","04","00","256","0002242",737,"4","1"
"0012605","04","1","01","01","4","007000","00700","00","0","00","11","00","11","282","0002426",1382,"3","1"
"0013619","01","1","03","01","1","016000","99999","99","9","99","99","99","99","308","0002615",987,"4","1"
"0013643","02","1","02","01","4","024000","99999","99","9","99","99","99","99","308","0002622",882,"4","1"
"0013662","04","1","03","01","1","999999","01000","99","9","04","00","02","00","308","0002626",966,"4","1"
"0013664","01","1","01","01","2","040000","03300","08","5","00","06","00","06","306","0002627",2583,"2","1"
"0013675","04","1","03","01","2","020000","02500","99","9","99","99","99","99","308","0002629",829,"4","1"
"0013691","05","1","02","01","4","025000","01780","99","9","02","00","00","01","315","0002633",2063,"3","1"
"0013717","01","1","02","01","2","080000","04000","09","9","02","06","02","00","304","0002642",1524,"3","1"
"0013773","05","3","01","01","4","030000","03000","99","9","03","00","03","00","305","0002655",680,"4","1"
"0013796","02","1","01","01","4","010000","01500","06","0","02","00","00","07","304","0002661",1575,"3","1"
"0013797","03","1","02","01","4","019000","01000","99","9","03","00","03","00","304","0002661",1575,"3","1"
"0013887","01","1","02","01","4","001200","00500","99","9","00","06","00","02","305","0002683",702,"4","1"
"0014130","18","1","03","01","4","008000","99999","99","9","99","99","01","00","322","0002719",1698,"1","4"
"0015066","01","1","01","01","4","030000","00800","99","9","02","00","01","00","348","0002903",1815,"3","1"
"0016976","05","1","04","01","1","000500","00083","99","9","00","06","00","01","399","0003267",167,"4","1"
